====iter_10400: fit=1.7489, reg=1.0172, thom=5.1504, thomf=4.9779, acc=0.5078
====iter_10500: fit=1.7065, reg=1.0156, thom=5.1502, thomf=4.9777, acc=0.5703
====iter_10600: fit=1.4012, reg=1.0174, thom=5.1501, thomf=4.9769, acc=0.6094
====iter_10700: fit=1.5958, reg=1.0207, thom=5.1492, thomf=4.9785, acc=0.5781
====iter_10800: fit=1.4160, reg=1.0221, thom=5.1496, thomf=4.9784, acc=0.5859
====iter_10900: fit=1.6711, reg=1.0243, thom=5.1491, thomf=4.9787, acc=0.5312
====iter_11000: fit=1.4276, reg=1.0281, thom=5.1489, thomf=4.9779, acc=0.6094
====iter_11100: fit=1.5289, reg=1.0304, thom=5.1485, thomf=4.9783, acc=0.5859
====iter_11200: fit=1.4965, reg=1.0335, thom=5.1495, thomf=4.9784, acc=0.5938
====iter_11300: fit=1.6131, reg=1.0322, thom=5.1485, thomf=4.9776, acc=0.6016
====iter_11400: fit=1.7018, reg=1.0356, thom=5.1479, thomf=4.9774, acc=0.5625
====iter_11500: fit=1.3998, reg=1.0380, thom=5.1480, thomf=4.9775, acc=0.6406
====iter_11600: fit=1.4905, reg=1.0396, thom=5.1490, thomf=4.9774, acc=0.5859
====iter_11700: fit=1.3074, reg=1.0372, thom=5.1480, thomf=4.9785, acc=0.6641
====iter_11800: fit=1.6472, reg=1.0404, thom=5.1475, thomf=4.9772, acc=0.5703
====iter_11900: fit=1.4032, reg=1.0436, thom=5.1482, thomf=4.9778, acc=0.6484
====iter_12000: fit=1.8646, reg=1.0450, thom=5.1486, thomf=4.9784, acc=0.4766
====iter_12100: fit=1.2130, reg=1.0441, thom=5.1484, thomf=4.9786, acc=0.6719
====iter_12200: fit=1.4043, reg=1.0453, thom=5.1474, thomf=4.9775, acc=0.6406
====iter_12300: fit=1.7036, reg=1.0479, thom=5.1480, thomf=4.9773, acc=0.5781
====iter_12400: fit=1.6179, reg=1.0499, thom=5.1477, thomf=4.9778, acc=0.5859
====iter_12500: fit=1.3974, reg=1.0499, thom=5.1477, thomf=4.9782, acc=0.6094
====iter_12600: fit=1.3865, reg=1.0541, thom=5.1480, thomf=4.9775, acc=0.6328
====iter_12700: fit=1.5361, reg=1.0550, thom=5.1481, thomf=4.9771, acc=0.5469
====iter_12800: fit=1.5507, reg=1.0561, thom=5.1474, thomf=4.9775, acc=0.6328
====iter_12900: fit=1.2645, reg=1.0554, thom=5.1465, thomf=4.9779, acc=0.6562
====iter_13000: fit=1.4088, reg=1.0577, thom=5.1472, thomf=4.9771, acc=0.6328
====iter_13100: fit=1.3989, reg=1.0601, thom=5.1474, thomf=4.9779, acc=0.6250
====iter_13200: fit=1.7804, reg=1.0594, thom=5.1474, thomf=4.9782, acc=0.5234
====iter_13300: fit=1.3961, reg=1.0579, thom=5.1467, thomf=4.9771, acc=0.6172
====iter_13400: fit=1.7413, reg=1.0607, thom=5.1473, thomf=4.9773, acc=0.5547
====iter_13500: fit=1.5656, reg=1.0655, thom=5.1471, thomf=4.9776, acc=0.6172
====iter_13600: fit=1.4947, reg=1.0648, thom=5.1470, thomf=4.9773, acc=0.6172
====iter_13700: fit=1.6988, reg=1.0655, thom=5.1466, thomf=4.9769, acc=0.5547
====iter_13800: fit=1.6658, reg=1.0678, thom=5.1471, thomf=4.9771, acc=0.5312
====iter_13900: fit=1.5054, reg=1.0687, thom=5.1469, thomf=4.9774, acc=0.5938
====iter_14000: fit=1.4772, reg=1.0688, thom=5.1470, thomf=4.9779, acc=0.5859
====iter_14100: fit=1.5434, reg=1.0729, thom=5.1469, thomf=4.9772, acc=0.5703
====iter_14200: fit=1.4658, reg=1.0714, thom=5.1464, thomf=4.9766, acc=0.5625
====iter_14300: fit=1.6906, reg=1.0722, thom=5.1469, thomf=4.9767, acc=0.5859
====iter_14400: fit=1.5558, reg=1.0709, thom=5.1464, thomf=4.9780, acc=0.5781
====iter_14500: fit=1.3769, reg=1.0717, thom=5.1464, thomf=4.9774, acc=0.5938
====iter_14600: fit=1.5714, reg=1.0756, thom=5.1465, thomf=4.9776, acc=0.5547
====iter_14700: fit=1.7052, reg=1.0756, thom=5.1477, thomf=4.9773, acc=0.5703
====iter_14800: fit=1.4020, reg=1.0758, thom=5.1465, thomf=4.9773, acc=0.6094
====iter_14900: fit=1.5184, reg=1.0781, thom=5.1467, thomf=4.9766, acc=0.5781
====iter_15000: fit=1.5573, reg=1.0811, thom=5.1462, thomf=4.9769, acc=0.5625
====iter_15100: fit=1.4362, reg=1.0817, thom=5.1466, thomf=4.9770, acc=0.5938
====iter_15200: fit=1.8561, reg=1.0815, thom=5.1468, thomf=4.9769, acc=0.5156
====iter_15300: fit=1.1022, reg=1.0840, thom=5.1466, thomf=4.9766, acc=0.7109
====iter_15400: fit=1.4524, reg=1.0859, thom=5.1471, thomf=4.9771, acc=0.6250
====iter_15500: fit=1.2897, reg=1.0849, thom=5.1459, thomf=4.9773, acc=0.6484
====iter_15600: fit=1.4183, reg=1.0819, thom=5.1454, thomf=4.9772, acc=0.6328
====iter_15700: fit=1.3602, reg=1.0846, thom=5.1460, thomf=4.9760, acc=0.6562
====iter_15800: fit=1.4846, reg=1.0887, thom=5.1462, thomf=4.9765, acc=0.5625
====iter_15900: fit=1.4232, reg=1.0862, thom=5.1456, thomf=4.9769, acc=0.6172
====iter_16000: fit=1.2735, reg=1.0866, thom=5.1460, thomf=4.9775, acc=0.6250
====iter_16100: fit=1.3542, reg=1.0895, thom=5.1458, thomf=4.9769, acc=0.6094
====iter_16200: fit=1.4409, reg=1.0916, thom=5.1454, thomf=4.9776, acc=0.6328
====iter_16300: fit=1.5477, reg=1.0944, thom=5.1450, thomf=4.9778, acc=0.5469
====iter_16400: fit=1.4196, reg=1.0915, thom=5.1459, thomf=4.9772, acc=0.6328
====iter_16500: fit=1.4807, reg=1.0921, thom=5.1454, thomf=4.9769, acc=0.6328
====iter_16600: fit=1.3847, reg=1.0958, thom=5.1453, thomf=4.9770, acc=0.5938
====iter_16700: fit=1.5667, reg=1.0992, thom=5.1459, thomf=4.9776, acc=0.5625
====iter_16800: fit=1.4068, reg=1.0985, thom=5.1453, thomf=4.9763, acc=0.6172
====iter_16900: fit=1.3566, reg=1.0993, thom=5.1459, thomf=4.9759, acc=0.6406
====iter_17000: fit=1.4760, reg=1.0994, thom=5.1452, thomf=4.9768, acc=0.6328
====iter_17100: fit=1.2430, reg=1.0979, thom=5.1460, thomf=4.9779, acc=0.6406
====iter_17200: fit=1.3959, reg=1.0948, thom=5.1449, thomf=4.9768, acc=0.6250
====iter_17300: fit=1.2487, reg=1.0980, thom=5.1452, thomf=4.9769, acc=0.7109
====iter_17400: fit=1.5140, reg=1.1021, thom=5.1459, thomf=4.9774, acc=0.5703
====iter_17500: fit=1.5302, reg=1.1004, thom=5.1441, thomf=4.9768, acc=0.6016
====iter_17600: fit=1.4982, reg=1.1006, thom=5.1457, thomf=4.9766, acc=0.6250
====iter_17700: fit=1.4001, reg=1.1039, thom=5.1448, thomf=4.9764, acc=0.5859
====iter_17800: fit=1.6446, reg=1.1048, thom=5.1448, thomf=4.9765, acc=0.5625
====iter_17900: fit=1.4316, reg=1.1059, thom=5.1453, thomf=4.9768, acc=0.6484
====iter_18000: fit=1.5472, reg=1.1054, thom=5.1450, thomf=4.9769, acc=0.5781
====iter_18100: fit=1.5980, reg=1.1062, thom=5.1451, thomf=4.9771, acc=0.5703
====iter_18200: fit=1.8088, reg=1.1075, thom=5.1454, thomf=4.9771, acc=0.5234
====iter_18300: fit=1.2646, reg=1.1065, thom=5.1450, thomf=4.9774, acc=0.6406
====iter_18400: fit=1.2728, reg=1.1050, thom=5.1452, thomf=4.9760, acc=0.7031
====iter_18500: fit=1.3624, reg=1.1085, thom=5.1448, thomf=4.9759, acc=0.6328
====iter_18600: fit=1.4531, reg=1.1089, thom=5.1445, thomf=4.9764, acc=0.6172
====iter_18700: fit=1.4441, reg=1.1068, thom=5.1446, thomf=4.9773, acc=0.6094
====iter_18800: fit=1.2418, reg=1.1079, thom=5.1451, thomf=4.9760, acc=0.6484
====iter_18900: fit=1.3635, reg=1.1104, thom=5.1444, thomf=4.9764, acc=0.6562
====iter_19000: fit=1.5045, reg=1.1096, thom=5.1450, thomf=4.9769, acc=0.5938
