====iter_10800: fit=1.4537, reg=0.9414, thom=5.1190, thomf=4.9783, acc=0.5938
====iter_10900: fit=1.4718, reg=0.9433, thom=5.1189, thomf=4.9796, acc=0.5625
====iter_11000: fit=1.4815, reg=0.9446, thom=5.1187, thomf=4.9778, acc=0.6094
====iter_11100: fit=1.5364, reg=0.9479, thom=5.1184, thomf=4.9786, acc=0.5312
====iter_11200: fit=1.9171, reg=0.9534, thom=5.1187, thomf=4.9793, acc=0.4922
====iter_11300: fit=1.6099, reg=0.9551, thom=5.1189, thomf=4.9787, acc=0.5469
====iter_11400: fit=1.4113, reg=0.9573, thom=5.1185, thomf=4.9783, acc=0.6016
====iter_11500: fit=1.5574, reg=0.9597, thom=5.1183, thomf=4.9791, acc=0.5469
====iter_11600: fit=1.5550, reg=0.9597, thom=5.1184, thomf=4.9779, acc=0.6250
====iter_11700: fit=1.5490, reg=0.9616, thom=5.1184, thomf=4.9778, acc=0.5938
====iter_11800: fit=1.3895, reg=0.9652, thom=5.1187, thomf=4.9781, acc=0.5625
====iter_11900: fit=1.3116, reg=0.9686, thom=5.1185, thomf=4.9790, acc=0.6797
====iter_12000: fit=1.4588, reg=0.9714, thom=5.1185, thomf=4.9787, acc=0.6641
====iter_12100: fit=1.5162, reg=0.9745, thom=5.1184, thomf=4.9794, acc=0.5625
====iter_12200: fit=1.4898, reg=0.9763, thom=5.1184, thomf=4.9786, acc=0.5938
====iter_12300: fit=1.8204, reg=0.9774, thom=5.1189, thomf=4.9784, acc=0.5000
====iter_12400: fit=1.6031, reg=0.9791, thom=5.1185, thomf=4.9796, acc=0.5859
====iter_12500: fit=1.6541, reg=0.9758, thom=5.1185, thomf=4.9783, acc=0.5703
====iter_12600: fit=1.6673, reg=0.9800, thom=5.1182, thomf=4.9774, acc=0.5781
====iter_12700: fit=1.5819, reg=0.9841, thom=5.1189, thomf=4.9773, acc=0.6250
====iter_12800: fit=1.6417, reg=0.9864, thom=5.1188, thomf=4.9779, acc=0.6094
====iter_12900: fit=1.4875, reg=0.9857, thom=5.1187, thomf=4.9773, acc=0.5938
====iter_13000: fit=1.5655, reg=0.9883, thom=5.1188, thomf=4.9782, acc=0.5938
====iter_13100: fit=1.5094, reg=0.9909, thom=5.1187, thomf=4.9781, acc=0.6094
====iter_13200: fit=1.6740, reg=0.9923, thom=5.1188, thomf=4.9782, acc=0.5859
====iter_13300: fit=1.4428, reg=0.9923, thom=5.1186, thomf=4.9780, acc=0.6250
====iter_13400: fit=1.5561, reg=0.9950, thom=5.1185, thomf=4.9781, acc=0.5703
====iter_13500: fit=1.4828, reg=0.9964, thom=5.1187, thomf=4.9787, acc=0.6094
====iter_13600: fit=1.5789, reg=0.9935, thom=5.1187, thomf=4.9781, acc=0.5156
====iter_13700: fit=1.5962, reg=0.9994, thom=5.1186, thomf=4.9783, acc=0.6094
====iter_13800: fit=1.6466, reg=1.0012, thom=5.1188, thomf=4.9784, acc=0.5078
====iter_13900: fit=1.5989, reg=1.0013, thom=5.1186, thomf=4.9784, acc=0.5234
====iter_14000: fit=1.5061, reg=1.0029, thom=5.1187, thomf=4.9787, acc=0.5625
====iter_14100: fit=1.3354, reg=1.0040, thom=5.1186, thomf=4.9791, acc=0.6562
====iter_14200: fit=1.8305, reg=1.0088, thom=5.1191, thomf=4.9792, acc=0.4688
====iter_14300: fit=1.6305, reg=1.0110, thom=5.1188, thomf=4.9794, acc=0.5469
====iter_14400: fit=1.4661, reg=1.0107, thom=5.1187, thomf=4.9794, acc=0.6328
====iter_14500: fit=1.4650, reg=1.0122, thom=5.1183, thomf=4.9779, acc=0.5938
====iter_14600: fit=1.4585, reg=1.0162, thom=5.1188, thomf=4.9777, acc=0.6641
====iter_14700: fit=1.5447, reg=1.0166, thom=5.1185, thomf=4.9781, acc=0.5938
====iter_14800: fit=1.6543, reg=1.0164, thom=5.1188, thomf=4.9781, acc=0.5547
====iter_14900: fit=1.3726, reg=1.0183, thom=5.1187, thomf=4.9778, acc=0.6406
====iter_15000: fit=1.6959, reg=1.0177, thom=5.1187, thomf=4.9774, acc=0.5469
====iter_15100: fit=1.3198, reg=1.0178, thom=5.1183, thomf=4.9776, acc=0.6484
====iter_15200: fit=1.6503, reg=1.0186, thom=5.1186, thomf=4.9776, acc=0.5391
====iter_15300: fit=1.4347, reg=1.0211, thom=5.1190, thomf=4.9776, acc=0.6094
====iter_15400: fit=1.6306, reg=1.0227, thom=5.1187, thomf=4.9787, acc=0.5312
====iter_15500: fit=1.7767, reg=1.0230, thom=5.1188, thomf=4.9780, acc=0.5312
====iter_15600: fit=1.5121, reg=1.0226, thom=5.1190, thomf=4.9787, acc=0.5938
====iter_15700: fit=1.5261, reg=1.0256, thom=5.1188, thomf=4.9777, acc=0.6250
====iter_15800: fit=1.5222, reg=1.0287, thom=5.1191, thomf=4.9779, acc=0.5703
====iter_15900: fit=1.5360, reg=1.0303, thom=5.1188, thomf=4.9780, acc=0.6406
====iter_16000: fit=1.4545, reg=1.0297, thom=5.1187, thomf=4.9787, acc=0.6328
====iter_16100: fit=1.6451, reg=1.0332, thom=5.1186, thomf=4.9769, acc=0.5625
====iter_16200: fit=1.5905, reg=1.0359, thom=5.1186, thomf=4.9777, acc=0.6250
====iter_16300: fit=1.5536, reg=1.0356, thom=5.1192, thomf=4.9779, acc=0.6172
====iter_16400: fit=1.5179, reg=1.0332, thom=5.1188, thomf=4.9771, acc=0.5703
====iter_16500: fit=1.8191, reg=1.0333, thom=5.1189, thomf=4.9774, acc=0.5469
====iter_16600: fit=1.5516, reg=1.0355, thom=5.1190, thomf=4.9773, acc=0.6328
====iter_16700: fit=1.8034, reg=1.0378, thom=5.1199, thomf=4.9780, acc=0.5000
====iter_16800: fit=1.3668, reg=1.0374, thom=5.1188, thomf=4.9775, acc=0.6250
====iter_16900: fit=1.4123, reg=1.0372, thom=5.1193, thomf=4.9765, acc=0.6172
====iter_17000: fit=1.7361, reg=1.0441, thom=5.1198, thomf=4.9783, acc=0.6016
====iter_17100: fit=1.5955, reg=1.0429, thom=5.1191, thomf=4.9781, acc=0.5625
====iter_17200: fit=1.6781, reg=1.0433, thom=5.1193, thomf=4.9773, acc=0.5625
====iter_17300: fit=1.5167, reg=1.0442, thom=5.1191, thomf=4.9776, acc=0.6094
====iter_17400: fit=1.5914, reg=1.0485, thom=5.1196, thomf=4.9784, acc=0.5938
====iter_17500: fit=1.3534, reg=1.0484, thom=5.1199, thomf=4.9784, acc=0.6953
====iter_17600: fit=1.7476, reg=1.0459, thom=5.1199, thomf=4.9775, acc=0.5000
====iter_17700: fit=1.2700, reg=1.0447, thom=5.1196, thomf=4.9777, acc=0.6406
====iter_17800: fit=1.3451, reg=1.0465, thom=5.1198, thomf=4.9773, acc=0.6172
====iter_17900: fit=1.4901, reg=1.0467, thom=5.1195, thomf=4.9773, acc=0.5781
====iter_18000: fit=1.6531, reg=1.0500, thom=5.1197, thomf=4.9778, acc=0.5703
====iter_18100: fit=1.7544, reg=1.0521, thom=5.1198, thomf=4.9767, acc=0.5547
====iter_18200: fit=1.7961, reg=1.0543, thom=5.1200, thomf=4.9775, acc=0.5391
====iter_18300: fit=1.4043, reg=1.0521, thom=5.1200, thomf=4.9784, acc=0.5469
====iter_18400: fit=1.7163, reg=1.0530, thom=5.1198, thomf=4.9777, acc=0.4844
====iter_18500: fit=1.5041, reg=1.0558, thom=5.1207, thomf=4.9780, acc=0.6094
====iter_18600: fit=1.5304, reg=1.0546, thom=5.1199, thomf=4.9777, acc=0.5781
====iter_18700: fit=1.4954, reg=1.0536, thom=5.1198, thomf=4.9783, acc=0.6250
====iter_18800: fit=1.5328, reg=1.0557, thom=5.1198, thomf=4.9774, acc=0.6250
====iter_18900: fit=1.3870, reg=1.0584, thom=5.1200, thomf=4.9774, acc=0.6172
====iter_19000: fit=1.4013, reg=1.0610, thom=5.1203, thomf=4.9780, acc=0.6172
====iter_19100: fit=1.5823, reg=1.0590, thom=5.1208, thomf=4.9783, acc=0.5469
====iter_19200: fit=1.5422, reg=1.0591, thom=5.1205, thomf=4.9776, acc=0.5625
====iter_19300: fit=1.3680, reg=1.0615, thom=5.1204, thomf=4.9785, acc=0.6328
====iter_19400: fit=1.4561, reg=1.0597, thom=5.1201, thomf=4.9785, acc=0.6328
====iter_19500: fit=1.7259, reg=1.0596, thom=5.1199, thomf=4.9782, acc=0.5469
====iter_19600: fit=1.2743, reg=1.0601, thom=5.1202, thomf=4.9773, acc=0.6875
====iter_19700: fit=1.6011, reg=1.0642, thom=5.1206, thomf=4.9772, acc=0.5078
====iter_19800: fit=1.3619, reg=1.0664, thom=5.1204, thomf=4.9790, acc=0.6172
====iter_19900: fit=1.3362, reg=1.0656, thom=5.1204, thomf=4.9786, acc=0.6562
====iter_20000: fit=1.3126, reg=1.0691, thom=5.1208, thomf=4.9772, acc=0.6953
====iter_20100: fit=1.3148, reg=1.0702, thom=5.1200, thomf=4.9765, acc=0.6406
====iter_20200: fit=1.5095, reg=1.0702, thom=5.1206, thomf=4.9776, acc=0.5859
====iter_20300: fit=1.5264, reg=1.0685, thom=5.1202, thomf=4.9769, acc=0.6016
====iter_20400: fit=1.5481, reg=1.0721, thom=5.1207, thomf=4.9770, acc=0.6016
====iter_20500: fit=1.6147, reg=1.0753, thom=5.1206, thomf=4.9775, acc=0.5469
====iter_20600: fit=1.7161, reg=1.0732, thom=5.1210, thomf=4.9776, acc=0.5234
